id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s]
1000235.413,731.0,390.145,179.434,1366.493,390.317,178.684,1368.105,387.0,395.0,175.0,187.0,1344.0,1401.0,1832.0,57.0,64.0,6.1979,3.6684,11.6419,6.2183,3.1026,3.3142,752.8818,1.7812,0.8237,168.1751,0.2122,82.9034,43.3228,22.7181,55.8178,97.75288,1.0697365,253671.92
1000235.414,732.0,171.325,179.135,1369.684,171.324,179.524,1368.956,168.0,175.0,174.0,186.0,1344.0,1391.0,1790.0,47.0,63.0,6.9984,3.3033,-2.8221,6.3275,2.7673,-6.7834,947.6793,2.2608,37.726,171.4411,0.2299,97.4279,39.7204,26.4018,29.4007,101.40278,1.0837403,254298.11
1000235.415,733.0,298.898,182.85,1375.869,299.133,182.428,1376.236,296.0,303.0,179.0,188.0,1345.0,1414.0,1590.0,69.0,45.0,4.4382,3.0294,-9.3635,3.3769,2.5842,-0.376,727.5872,1.6697,0.5376,52.3565,0.22,82.9575,60.3714,46.5445,69.4044,99.272622,1.1321378,259657.32
1000235.416,734.0,91.476,372.316,1366.537,91.421,372.314,1367.085,86.0,97.0,368.0,376.0,1345.0,1388.0,1141.0,43.0,45.0,5.7628,2.5341,-61.1836,5.0643,2.3689,-63.325,458.7278,1.2628,0.0,295.8861,0.2186,62.1214,33.6068,21.7896,0.0,102.7345,4.2969023,252921.03
1000235.417,735.0,349.6,177.395,1361.932,349.647,177.484,1362.267,347.0,353.0,173.0,185.0,1346.0,1377.0,693.0,31.0,35.0,6.1872,2.2979,-11.0756,5.6288,2.158,-13.3466,312.9064,1.259,0.0,346.0972,0.2238,53.1203,26.9536,21.7487,0.0,98.430725,1.0497413,249374.12
1000235.425,743.0,465.212,179.929,1381.118,465.575,179.777,1380.8,462.0,469.0,175.0,188.0,1355.0,1410.0,1672.0,55.0,54.0,6.1966,3.1234,-0.9522,5.4846,2.5892,14.0704,800.8502,2.092,0.0,26.2704,0.2209,88.6814,40.5261,25.427,0.0,96.498582,1.0879595,263016.93
1000235.428,746.0,138.191,371.167,1376.072,137.33,370.894,1375.368,131.0,146.0,365.0,378.0,1352.0,1401.0,3704.0,49.0,121.0,7.681,5.9038,-89.5444,8.6895,5.0619,-72.9258,1418.3561,2.7581,9.5066,294.7474,0.2169,107.423,36.2557,27.1245,43.346,101.96934,4.2732408,259017.93
1000235.43,748.0,111.008,175.795,1396.7,111.103,176.173,1396.192,108.0,114.0,170.0,181.0,1374.0,1420.0,1179.0,46.0,39.0,6.1185,2.1398,-21.9616,5.2956,1.7772,-21.8618,555.7413,1.8175,19.5696,333.1407,0.223,72.5869,41.1181,29.9307,31.9351,102.40646,1.0278881,274346.95
1000235.431,749.0,228.272,369.02,1397.415,228.555,368.889,1396.549,226.0,232.0,364.0,375.0,1376.0,1420.0,1040.0,44.0,40.0,5.5832,2.8561,-5.6444,4.4805,2.8264,-6.7511,405.7306,1.4394,11.508,353.7704,0.2182,57.6501,36.323,23.3904,33.3923,100.44892,4.239825,274609.79
1000235.432,750.0,431.96,367.528,1376.943,431.823,367.514,1377.089,427.0,437.0,365.0,370.0,1356.0,1401.0,805.0,45.0,35.0,5.8427,2.0599,77.8215,5.4523,1.9479,77.8803,322.1054,1.4058,0.0,254.8469,0.2256,50.3287,30.0207,18.6758,0.0,97.061109,4.2169125,260285.04
