id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m,notes,"AGCnr, Name",ALFALFA notes,cube notes
760235.015,17,133.706,367.787,504.058,133.534,367.951,504.515,127,140,364,372,488,524,1369,36,64,7.212,2.9479,77.204,6.8031,2.6678,76.077,374.6483,1.0323,26.3194,71.905,0.2053,49.3286,29.3072,19.7066,14.6584,78.032555,4.2241918,-382036.84,n,-370 km/s cluster,,,
760235.03,33,246.525,175.319,511.334,246.144,175.533,511.145,244,251,172,180,496,529,755,33,34,4.2133,2.5765,41.3833,4.3456,2.2939,43.7962,232.0028,0.921,10.099,240.496,0.2083,40.5389,28.8108,21.6427,25.688,76.15572,1.0172147,-377156.43,n,,,,
760235.031,34,195.48,171.92,536.217,195.442,171.884,535.944,191,202,167,178,512,556,1014,44,50,5.4582,4.3263,-78.0718,5.0844,3.8765,82.2999,302.19,1.0135,16.8798,1.7835,0.2189,43.3465,33.056,23.9143,24.036,77.000753,0.95640353,-358901.43,n,-370 km/s cluster,,,
760235.036,42,103.328,363.622,526.516,103.26,363.639,526.428,100,108,360,372,506,545,1298,39,57,6.2732,3.582,16.134,5.496,3.2651,17.9924,333.3933,0.9343,9.0349,13.05,0.203,45.5797,27.577,16.4412,27.5109,78.537135,4.1523215,-365906.39,n,-370 km/s cluster,,,
760235.038,45,226.363,366.775,541.367,226.262,366.789,540.914,222,231,361,372,519,563,1784,44,65,5.1695,3.9714,13.8165,4.6757,3.2601,22.0884,517.4571,1.2551,15.265,196.4778,0.1945,62.9937,35.4174,21.1782,30.4956,76.487094,4.2048299,-355242.83,n,-370 km/s cluster,,,
760235.041,49,434.596,175.997,529.371,434.846,175.987,528.907,432,438,172,182,502,555,1427,53,47,4.7063,2.8834,3.3112,4.3269,2.5982,10.4305,407.5211,1.0086,11.4315,190.0861,0.2021,53.3683,41.317,33.5093,36.788,73.010678,1.0247883,-364081.1,n,-370 km/s cluster,,,
760235.046,58,498.195,380.53,876.943,498.178,380.666,876.825,494,504,375,386,856,896,1848,40,85,5.4604,4.7524,17.5663,4.5684,4.1696,28.3378,595.627,1.043,0,114.6521,0.2218,62.4653,32.1766,21.5349,0,71.955143,4.4361086,-107970.77,n,,,,
760235.048,61,486.873,279.76,862.738,487.042,279.756,863.202,482,494,274,288,846,880,2223,34,113,7.5573,4.7719,46.5317,7.1502,4.0162,44.5801,617.21,0.9276,22.7394,216.549,0.1949,67.1699,26.0182,14.9858,24.9028,72.140753,2.7542713,-117998.98,n,,,,
760235.052,66,490.143,334.757,863.15,490.134,334.634,863.131,485,495,331,339,847,881,1245,34,60,5.3666,3.5745,67.9153,4.7438,3.2472,63.1948,357.8999,0.8157,9.6654,39.6238,0.2036,49.8094,27.4116,20.7746,26.6476,72.089221,3.6689092,-118051.5,n,,,,
760235.058,72,507.073,305.105,913.071,507.638,305.22,913.098,501,512,299,313,889,940,3570,51,105,6.4609,5.0195,-18.9902,5.637,4.638,-30.9733,1099.5599,1.2418,0,130.9578,0.2014,91.3943,39.1301,27.448,0,71.797478,3.1786692,-81269.408,n,edge,,,
