# id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s]
4.343520700000000215e+04,3.520000000000000000e+02,2.685459999999999923e+02,2.932959999999999923e+02,1.235140000000000100e+03,2.684820000000000277e+02,2.933410000000000082e+02,1.234747000000000071e+03,2.650000000000000000e+02,2.720000000000000000e+02,2.880000000000000000e+02,2.980000000000000000e+02,1.215000000000000000e+03,1.264000000000000000e+03,4.490000000000000000e+02,4.900000000000000000e+01,3.500000000000000000e+01,5.812999999999999723e+00,2.232099999999999973e+00,-2.492830000000000013e+01,4.483500000000000263e+00,1.708299999999999930e+00,-2.729810000000000159e+01,2.668578999999999724e+02,1.757800000000000029e+00,8.082100000000000506e+00,1.518204000000000065e+02,2.548000000000000265e-01,4.943299999999999983e+01,3.896889999999999787e+01,2.573019999999999996e+01,3.769050000000000011e+01,3.783278300000000094e+00,3.498075500000000204e+01,1.555037799999999988e+05
1.202350019999999931e+05,2.000000000000000000e+00,4.751800000000000068e+02,3.662930000000000064e+02,2.555320000000000107e+02,4.751549999999999727e+02,3.663650000000000091e+02,2.559730000000000132e+02,4.730000000000000000e+02,4.790000000000000000e+02,3.630000000000000000e+02,3.710000000000000000e+02,2.260000000000000000e+02,2.800000000000000000e+02,9.340000000000000000e+02,5.400000000000000000e+01,3.700000000000000000e+01,4.197300000000000253e+00,2.340899999999999981e+00,-1.149510000000000076e+01,3.014800000000000146e+00,1.842600000000000016e+00,-1.273889999999999922e+01,6.398930000000000291e+02,2.991999999999999993e+00,0.000000000000000000e+00,3.530505999999999744e+02,1.975999999999999979e-01,1.059594000000000023e+02,3.612230000000000274e+01,1.767620000000000147e+01,0.000000000000000000e+00,8.338745199999999969e+00,4.197766200000000225e+00,-5.649943399999999674e+05
1.202350050000000047e+05,9.000000000000000000e+00,3.403190000000000168e+02,4.280029999999999859e+02,5.190979999999999563e+02,3.403770000000000095e+02,4.278679999999999950e+02,5.193920000000000528e+02,3.370000000000000000e+02,3.460000000000000000e+02,4.210000000000000000e+02,4.340000000000000000e+02,4.950000000000000000e+02,5.450000000000000000e+02,2.675000000000000000e+03,5.000000000000000000e+01,8.900000000000000000e+01,6.538599999999999746e+00,4.526799999999999713e+00,-5.657199999999999562e+00,5.844899999999999984e+00,3.810099999999999820e+00,-6.308500000000000441e+00,7.658600999999999885e+02,9.743000000000000549e-01,4.072039999999999793e+01,3.463620999999999981e+02,2.015000000000000124e-01,7.348900000000000432e+01,3.832370000000000232e+01,2.690670000000000073e+01,2.600280000000000058e+01,1.058504300000000065e+01,5.222807800000000000e+00,-3.710852100000000210e+05
1.202350090000000055e+05,1.300000000000000000e+01,3.278519999999999754e+02,4.196820000000000164e+02,5.468120000000000118e+02,3.279420000000000073e+02,4.198740000000000236e+02,5.457169999999999845e+02,3.240000000000000000e+02,3.330000000000000000e+02,4.150000000000000000e+02,4.250000000000000000e+02,5.230000000000000000e+02,5.720000000000000000e+02,1.894000000000000000e+03,4.900000000000000000e+01,6.100000000000000000e+01,4.762299999999999756e+00,3.995600000000000041e+00,-3.547800000000000065e+00,3.960599999999999898e+00,3.259599999999999831e+00,-2.463799999999999990e+00,6.435724000000000160e+02,1.192099999999999937e+00,2.488070000000000093e+01,1.342920000000000016e+02,1.993999999999999939e-01,7.415430000000000632e+01,4.121829999999999927e+01,2.989000000000000057e+01,3.170889999999999986e+01,1.079228900000000024e+01,5.089576199999999773e+00,-3.517069899999999907e+05
1.202350160000000033e+05,2.200000000000000000e+01,3.533999999999999808e+00,4.709990000000000236e+02,9.387039999999999509e+02,3.418000000000000149e+00,4.710120000000000005e+02,9.402780000000000200e+02,0.000000000000000000e+00,9.000000000000000000e+00,4.650000000000000000e+02,4.790000000000000000e+02,9.140000000000000000e+02,9.650000000000000000e+02,2.674000000000000000e+03,5.100000000000000000e+01,8.600000000000000000e+01,6.586999999999999744e+00,4.169699999999999740e+00,-3.523600000000000065e+00,5.270999999999999908e+00,3.774399999999999977e+00,-5.339100000000000179e+00,1.075214400000000069e+03,1.191400000000000015e+00,1.859090000000000131e+01,2.250747000000000071e+02,2.104999999999999927e-01,9.877479999999999905e+01,3.881620000000000203e+01,2.743570000000000064e+01,3.874349999999999739e+01,1.620104200000000105e+01,5.941881999999999664e+00,-6.126138999999999942e+04
1.202350310000000027e+05,4.500000000000000000e+01,2.935430000000000064e+02,5.012389999999999759e+02,9.387060000000000173e+02,2.938020000000000209e+02,5.014800000000000182e+02,9.402749999999999773e+02,2.870000000000000000e+02,3.010000000000000000e+02,4.970000000000000000e+02,5.070000000000000000e+02,9.220000000000000000e+02,9.540000000000000000e+02,1.834000000000000000e+03,3.200000000000000000e+01,1.020000000000000000e+02,6.843700000000000117e+00,4.610299999999999621e+00,8.645829999999999416e+01,5.807699999999999640e+00,3.914200000000000124e+00,8.561260000000000048e+01,8.964121999999999844e+02,1.346999999999999975e+00,2.176719999999999899e+01,2.572457999999999743e+02,2.514000000000000123e-01,8.326680000000000348e+01,2.380170000000000030e+01,1.517539999999999978e+01,2.427270000000000039e+01,1.136129099999999958e+01,6.449675599999999953e+00,-6.126357899999999790e+04
1.202350489999999991e+05,8.200000000000000000e+01,1.952160000000000082e+02,4.700989999999999895e+02,9.522910000000000537e+02,1.950010000000000048e+02,4.700400000000000205e+02,9.528920000000000528e+02,1.920000000000000000e+02,2.000000000000000000e+02,4.660000000000000000e+02,4.750000000000000000e+02,9.360000000000000000e+02,9.710000000000000000e+02,1.092000000000000000e+03,3.500000000000000000e+01,5.000000000000000000e+01,4.077799999999999869e+00,3.860100000000000087e+00,-3.899999999999999994e-02,3.750399999999999956e+00,3.308899999999999952e+00,-7.762599999999999945e+00,4.891748999999999796e+02,1.100500000000000034e+00,2.594000000000000128e+01,1.934059000000000026e+02,2.335000000000000131e-01,6.339050000000000296e+01,2.563619999999999877e+01,1.708640000000000114e+01,2.145270000000000010e+01,1.300798900000000025e+01,5.925680599999999743e+00,-5.197633800000000338e+04
1.202350789999999979e+05,1.310000000000000000e+02,3.496200000000000045e+02,2.736610000000000014e+02,9.667419999999999618e+02,3.496469999999999914e+02,2.735419999999999732e+02,9.668550000000000182e+02,3.460000000000000000e+02,3.540000000000000000e+02,2.690000000000000000e+02,2.790000000000000000e+02,9.500000000000000000e+02,9.850000000000000000e+02,1.167000000000000000e+03,3.500000000000000000e+01,5.300000000000000000e+01,5.113800000000000345e+00,3.193900000000000183e+00,-1.981899999999999906e+01,4.464599999999999902e+00,2.831900000000000084e+00,-2.157679999999999865e+01,5.724080000000000155e+02,1.278299999999999992e+00,2.180750000000000099e+01,3.311001999999999725e+02,2.651999999999999913e-01,6.318390000000000128e+01,2.666069999999999851e+01,2.079909999999999926e+01,2.508310000000000173e+01,1.043053699999999928e+01,2.650700699999999799e+00,-4.169770599999999831e+04
1.202350890000000072e+05,1.530000000000000000e+02,2.257889999999999873e+02,4.230579999999999927e+02,9.863830000000000382e+02,2.258319999999999936e+02,4.229739999999999895e+02,9.867709999999999582e+02,2.210000000000000000e+02,2.320000000000000000e+02,4.180000000000000000e+02,4.290000000000000000e+02,9.710000000000000000e+02,1.002000000000000000e+03,1.680000000000000000e+03,3.100000000000000000e+01,8.400000000000000000e+01,6.437100000000000044e+00,4.014499999999999957e+00,5.278349999999999653e+01,5.582799999999999763e+00,3.428300000000000125e+00,5.368110000000000070e+01,8.081760000000000446e+02,1.109599999999999920e+00,4.901769999999999783e+01,5.482379999999999853e+01,2.600999999999999979e-01,7.580700000000000216e+01,2.569160000000000110e+01,2.225799999999999912e+01,1.987020000000000053e+01,1.249413099999999943e+01,5.141245600000000415e+00,-2.703711699999999837e+04
1.234350050000000047e+05,6.000000000000000000e+00,2.335550000000000068e+02,4.887999999999999901e+00,5.025400000000000205e+02,2.334639999999999986e+02,4.721000000000000085e+00,5.022869999999999777e+02,2.270000000000000000e+02,2.410000000000000000e+02,0.000000000000000000e+00,1.200000000000000000e+01,4.800000000000000000e+02,5.260000000000000000e+02,3.821000000000000000e+03,4.600000000000000000e+01,1.270000000000000000e+02,6.854300000000000281e+00,5.799999999999999822e+00,8.875050000000000239e+01,6.294500000000000206e+00,5.276600000000000179e+00,-8.342100000000000648e+01,8.075598999999999705e+02,8.125999999999999890e-01,2.295240000000000080e+01,1.049026000000000067e+02,1.723000000000000087e-01,7.584029999999999916e+01,3.368619999999999948e+01,2.377469999999999928e+01,3.207379999999999853e+01,1.236692700000000045e+01,3.017040899999999937e+01,-3.836771099999999860e+05
1.234350069999999978e+05,8.000000000000000000e+00,2.004209999999999923e+02,6.314000000000000057e+01,5.656760000000000446e+02,2.005800000000000125e+02,6.324600000000000222e+01,5.651839999999999691e+02,1.950000000000000000e+02,2.070000000000000000e+02,5.700000000000000000e+01,7.100000000000000000e+01,5.450000000000000000e+02,5.890000000000000000e+02,3.420000000000000000e+03,4.400000000000000000e+01,1.160000000000000000e+02,7.713400000000000034e+00,5.006999999999999673e+00,-3.233659999999999712e+01,7.384900000000000020e+00,4.313200000000000145e+00,-3.233169999999999789e+01,6.572442999999999529e+02,8.044999999999999929e-01,1.307370000000000054e+01,3.596918999999999755e+02,1.607000000000000095e-01,6.994679999999999609e+01,3.671509999999999962e+01,2.510589999999999833e+01,3.671739999999999782e+01,1.291499199999999981e+01,3.114583100000000115e+01,-3.373766400000000140e+05
1.234350120000000024e+05,1.300000000000000000e+01,2.147940000000000111e+02,3.133439999999999941e+02,8.764360000000000355e+02,2.147460000000000093e+02,3.133509999999999991e+02,8.761810000000000400e+02,2.120000000000000000e+02,2.180000000000000000e+02,3.070000000000000000e+02,3.190000000000000000e+02,8.670000000000000000e+02,8.860000000000000000e+02,4.330000000000000000e+02,1.900000000000000000e+01,3.900000000000000000e+01,5.959600000000000009e+00,1.936399999999999899e+00,-1.809870000000000090e+01,5.164200000000000124e+00,1.896500000000000075e+00,-1.947400000000000020e+01,1.403348000000000013e+02,1.021099999999999897e+00,8.192899999999999849e+00,1.555026000000000010e+02,2.290999999999999981e-01,2.943690000000000140e+01,1.653049999999999997e+01,1.519669999999999987e+01,1.624980000000000047e+01,1.267889800000000022e+01,3.531424899999999667e+01,-1.084448000000000029e+05
1.234350160000000033e+05,1.700000000000000000e+01,1.859989999999999952e+02,1.241290000000000049e+02,9.437259999999999991e+02,1.862980000000000018e+02,1.239419999999999931e+02,9.451150000000000091e+02,1.820000000000000000e+02,1.920000000000000000e+02,1.210000000000000000e+02,1.290000000000000000e+02,9.230000000000000000e+02,9.650000000000000000e+02,1.274000000000000000e+03,4.200000000000000000e+01,5.100000000000000000e+01,4.993500000000000050e+00,3.255300000000000082e+00,6.232840000000000202e+01,4.052699999999999747e+00,2.854999999999999982e+00,6.058220000000000027e+01,4.406861000000000104e+02,1.530599999999999961e+00,2.704650000000000176e+01,2.567735000000000127e+02,1.620000000000000051e-01,7.622679999999999723e+01,3.049470000000000169e+01,2.265220000000000056e+01,2.215510000000000090e+01,1.315304099999999998e+01,3.215742900000000049e+01,-5.770110700000000361e+04
2.002350039999999863e+05,6.000000000000000000e+00,4.504220000000000255e+02,1.598369999999999891e+02,7.964249999999999545e+02,4.505120000000000005e+02,1.598870000000000005e+02,7.963089999999999691e+02,4.470000000000000000e+02,4.540000000000000000e+02,1.560000000000000000e+02,1.630000000000000000e+02,7.740000000000000000e+02,8.220000000000000000e+02,7.230000000000000000e+02,4.800000000000000000e+01,3.300000000000000000e+01,4.033500000000000085e+00,2.594500000000000028e+00,-3.913649999999999807e+01,2.374200000000000088e+00,1.918099999999999916e+00,-5.308610000000000184e+01,5.951694999999999709e+02,3.586599999999999788e+00,1.391849999999999987e+01,3.174307000000000016e+02,2.833999999999999853e-01,7.810660000000000025e+01,3.973839999999999861e+01,2.996930000000000049e+01,3.943240000000000123e+01,1.674946500000000071e+01,7.564563399999999493e-01,-1.672402699999999895e+05
2.002350059999999939e+05,8.000000000000000000e+00,2.562080000000000268e+02,2.963519999999999754e+02,8.877670000000000528e+02,2.562250000000000227e+02,2.962320000000000277e+02,8.881390000000000100e+02,2.520000000000000000e+02,2.600000000000000000e+02,2.910000000000000000e+02,3.010000000000000000e+02,8.720000000000000000e+02,9.060000000000000000e+02,9.000000000000000000e+02,3.400000000000000000e+01,4.500000000000000000e+01,5.063799999999999635e+00,2.754700000000000149e+00,3.324960000000000093e+01,4.268699999999999939e+00,2.601700000000000124e+00,3.405890000000000128e+01,2.154660000000000082e+02,8.574000000000000510e-01,5.314400000000000013e+00,2.171321000000000083e+02,2.104000000000000037e-01,3.412939999999999685e+01,2.976640000000000086e+01,2.059209999999999852e+01,2.985259999999999891e+01,1.998760199999999898e+01,3.028865600000000047e+00,-9.964208500000000640e+04
2.002350400000000081e+05,4.900000000000000000e+01,4.459289999999999736e+02,4.108969999999999914e+02,9.448210000000000264e+02,4.459580000000000268e+02,4.108380000000000223e+02,9.457380000000000564e+02,4.430000000000000000e+02,4.500000000000000000e+02,4.060000000000000000e+02,4.160000000000000000e+02,9.270000000000000000e+02,9.610000000000000000e+02,1.218000000000000000e+03,3.400000000000000000e+01,6.000000000000000000e+01,5.383600000000000385e+00,3.588699999999999779e+00,1.283880000000000088e+01,4.807000000000000384e+00,3.096099999999999852e+00,1.689580000000000126e+01,4.087851999999999748e+02,8.544000000000000483e-01,7.944200000000000372e+00,2.293359000000000094e+02,2.151000000000000134e-01,5.445680000000000121e+01,2.674010000000000176e+01,1.703669999999999973e+01,2.758699999999999974e+01,1.682537900000000164e+01,4.938974899999999835e+00,-5.724233899999999994e+04
2.002351479999999865e+05,2.270000000000000000e+02,1.607769999999999868e+02,4.374060000000000059e+02,1.097935999999999922e+03,1.609809999999999945e+02,4.374139999999999873e+02,1.097797000000000025e+03,1.570000000000000000e+02,1.650000000000000000e+02,4.350000000000000000e+02,4.410000000000000000e+02,1.081000000000000000e+03,1.115000000000000000e+03,6.450000000000000000e+02,3.400000000000000000e+01,3.700000000000000000e+01,4.164900000000000269e+00,2.736499999999999932e+00,-8.562099999999999511e+01,3.502899999999999903e+00,2.262700000000000156e+00,-8.838230000000000075e+01,2.690928999999999860e+02,1.150300000000000100e+00,0.000000000000000000e+00,9.537869999999999493e+01,2.079000000000000015e-01,5.095799999999999841e+01,2.629690000000000083e+01,1.459880000000000067e+01,0.000000000000000000e+00,2.157500100000000032e+01,5.381904399999999811e+00,5.469165499999999884e+04
2.010350039999999863e+05,1.100000000000000000e+01,3.300339999999999918e+02,3.938900000000000290e+01,9.276430000000000291e+02,3.300129999999999768e+02,3.938199999999999790e+01,9.278550000000000182e+02,3.250000000000000000e+02,3.370000000000000000e+02,3.500000000000000000e+01,4.500000000000000000e+01,9.100000000000000000e+02,9.470000000000000000e+02,1.718000000000000000e+03,3.700000000000000000e+01,8.300000000000000000e+01,5.497899999999999565e+00,4.516799999999999926e+00,-6.614010000000000389e+01,5.199099999999999611e+00,4.081199999999999939e+00,-7.096699999999999875e+01,4.073557999999999879e+02,8.770999999999999908e-01,0.000000000000000000e+00,2.933446000000000140e+02,2.020000000000000129e-01,4.865010000000000190e+01,2.895439999999999969e+01,2.129420000000000002e+01,0.000000000000000000e+00,1.875778599999999940e+01,6.748046500000000059e+00,-7.040672900000000664e+04
2.010350059999999939e+05,1.300000000000000000e+01,4.171490000000000009e+02,1.507810000000000059e+02,9.205850000000000364e+02,4.170629999999999882e+02,1.507500000000000000e+02,9.209719999999999800e+02,4.130000000000000000e+02,4.220000000000000000e+02,1.470000000000000000e+02,1.560000000000000000e+02,9.040000000000000000e+02,9.380000000000000000e+02,1.097000000000000000e+03,3.400000000000000000e+01,5.900000000000000000e+01,4.378099999999999881e+00,4.232800000000000118e+00,3.203199999999999825e+00,4.026399999999999757e+00,3.590199999999999836e+00,-2.893680000000000163e+01,2.519089999999999918e+02,8.114999999999999991e-01,1.746649999999999991e+01,2.312741000000000042e+02,1.943000000000000005e-01,3.913479999999999848e+01,2.734769999999999968e+01,1.856240000000000023e+01,1.832160000000000011e+01,1.730696299999999965e+01,8.604178499999999730e+00,-7.547347699999999895e+04
2.010350190000000002e+05,2.800000000000000000e+01,4.840910000000000082e+02,3.785000000000000142e+00,9.451090000000000373e+02,4.841009999999999991e+02,3.447999999999999954e+00,9.449560000000000173e+02,4.800000000000000000e+02,4.890000000000000000e+02,0.000000000000000000e+00,1.000000000000000000e+01,9.200000000000000000e+02,9.670000000000000000e+02,1.954000000000000000e+03,4.700000000000000000e+01,6.600000000000000000e+01,4.975500000000000256e+00,4.211299999999999599e+00,-1.830839999999999890e+01,4.464100000000000179e+00,3.801200000000000134e+00,-1.454519999999999946e+01,5.269234000000000151e+02,1.136700000000000044e+00,0.000000000000000000e+00,3.545581999999999994e+02,1.963999999999999913e-01,6.069369999999999976e+01,3.390290000000000248e+01,2.559080000000000155e+01,0.000000000000000000e+00,1.618965999999999994e+01,6.149137999999999771e+00,-5.781837900000000081e+04
2.010350199999999895e+05,2.900000000000000000e+01,4.459180000000000064e+02,2.175819999999999936e+02,9.361019999999999754e+02,4.459030000000000200e+02,2.174029999999999916e+02,9.361340000000000146e+02,4.420000000000000000e+02,4.500000000000000000e+02,2.120000000000000000e+02,2.240000000000000000e+02,9.200000000000000000e+02,9.520000000000000000e+02,1.403000000000000000e+03,3.200000000000000000e+01,7.000000000000000000e+01,5.905899999999999928e+00,3.535000000000000142e+00,-1.098399999999999999e+01,5.403999999999999915e+00,3.272800000000000153e+00,-1.008469999999999978e+01,3.550339000000000169e+02,9.500999999999999446e-01,1.628020000000000067e+01,3.464098000000000184e+02,1.960000000000000075e-01,4.836599999999999966e+01,2.690530000000000044e+01,1.922319999999999851e+01,2.441750000000000043e+01,1.682628300000000010e+01,9.715077000000000851e+00,-6.431174700000000303e+04
