id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],yng,notes,stars
2121035.004,4,483.193,275.946,955.395,483.07,275.953,955.737,476,488,272,281,940,971,1158,31,67,5.0055,4.0164,-71.7977,4.6768,3.6725,-68.5013,222.4792,0.8041,7.2795,78.5216,0.1787,36.5903,23.8966,15.4239,23.9061,208.20716,10.69088,-49881.531,y,,n
2121835.034,43,121.116,405.907,955.704,121.213,405.931,955.662,115,128,397,414,932,980,4107,48,135,7.2654,5.7616,17.2315,6.8442,5.058,16.8608,663.0976,0.6339,0,8.3672,0.1578,65.5836,32.7734,22.2668,0,214.23812,20.857195,-49936.9,y,,n
2121835.072,107,474.07,169.93,985.58,474.07,169.82,984.643,471,478,167,174,966,1008,1159,42,42,4.1744,3.0499,-41.7779,3.7534,2.8475,-48.7664,171.9624,0.4988,0,152.5118,0.139,36.3411,31.8155,25.2954,0,208.35716,16.922002,-28603.834,y,,n
2121835.079,117,198.323,194.93,965.34,198.438,194.912,965.104,194,205,190,201,948,983,1629,35,75,5.2007,4.7083,-69.2675,4.9582,4.3767,-82.1787,261.8615,0.5893,11.8905,79.0491,0.1253,51.7687,27.8437,21.5355,22.5397,212.95103,17.340205,-42986.525,y,,n
2121835.082,121,341.78,364.202,969.792,341.889,364.196,970.001,337,347,360,369,949,990,1607,41,61,4.9065,3.6803,-60.278,4.4706,3.3635,-66.3907,252.0752,0.6006,7.1548,121.0477,0.1255,50.0933,32.6164,20.325,31.3477,210.56018,20.161608,-39381.8,y,,n
2121835.107,157,308.334,421.965,987.794,308.28,421.972,988.745,305,313,418,426,963,1010,1338,47,46,4.2482,3.0523,-47.8861,3.7863,2.854,-49.6167,223.7384,0.5297,5.88,174.1663,0.1559,39.2366,37.0052,20.707,35.2878,211.12032,21.124546,-25584.022,y,,n
2122635.025,30,313.245,21.597,970.936,313.047,21.492,970.534,306,322,15,29,945,998,5014,53,149,7.5097,6.1861,-75.3731,6.8182,5.6804,-75.0632,685.5772,0.6561,0,189.1288,0.1421,68.146,43.054,31.2706,0,211.04095,22.449911,-38989.397,y,,n
2122635.068,90,112.029,356.435,993.274,112.114,356.3,994.23,106,120,350,369,965,1019,4906,54,166,7.6406,6.8995,-8.4547,6.7649,6.0443,-5.704,789.5673,0.7108,28.2139,211.3285,0.1736,64.9429,43.804,23.213,29.4934,214.38984,28.030053,-21546.177,y,,n
2200235.056,120,303.106,353.258,1069.181,303.138,353.274,1069.306,297,309,348,361,1048,1096,2788,48,107,6.195,4.9702,-32.5529,5.3871,4.6266,-39.7377,542.3307,0.9695,17.8646,293.1698,0.1937,53.0179,30.6175,19.6868,28.8857,219.20602,3.9795783,33718.827,y,,n
2201035.011,11,31.232,49.052,954.662,31.117,48.717,955.234,25,37,44,54,925,989,3986,64,95,6.0769,4.8777,-84.529,5.2017,4.2677,-80.0766,826.0398,1.0465,41.4293,254.8943,0.1888,69.299,52.3595,29.7536,22.0649,223.73973,6.9036161,-50252.124,y,,n
2201035.014,14,160.925,160.44,943.323,160.759,160.575,943.287,156,168,157,165,922,970,2150,48,72,5.7707,3.8923,81.6408,5.1894,3.5778,79.9805,422.2561,1.0035,0,254.3441,0.1776,51.2769,34.6854,19.0577,0,221.57902,8.7679198,-59046.324,y,,n
2201035.015,15,98.221,269.078,934.41,98.127,269.071,933.436,93,104,265,274,911,967,2145,56,70,4.7638,4.2981,-81.2084,4.229,3.7978,-83.7133,462.9735,1.0721,19.433,318.4149,0.1803,55.452,37.0911,21.7506,31.9077,222.62288,10.576189,-66297.878,y,,n
2201035.016,16,205.777,202.485,930.913,205.664,202.275,931.15,203,210,198,207,912,951,1304,39,51,4.761,3.3255,-15.6329,4.2845,3.0511,-10.783,244.7144,0.8326,9.3674,7.671,0.1775,38.1888,26.8384,17.5337,25.1191,220.8306,9.4629192,-67980.723,y,,n
2201035.048,54,167.916,266.618,984.428,168.011,266.553,985.704,164,172,263,273,968,1002,1072,34,55,4.5474,3.7994,-7.7356,4.1731,3.4185,-15.5972,198.689,0.5847,4.3552,296.5651,0.1757,34.536,27.3379,16.3288,27.8355,221.45816,10.534221,-27822.24,y,,n
