# id,id_old,x_geo [pixels],y_geo [pixels],z_geo [pixels],x [pixels],y [pixels],z [pixels],x_min [pixels],x_max [pixels],y_min [pixels],y_max [pixels],z_min [pixels],z_max [pixels],n_pix,n_chan [channels],n_los [pixels],ell3s_maj [pixels],ell3s_min [pixels],ell3s_pa [deg],ell_maj [pixels],ell_min [pixels],ell_pa [deg],f_int [K],f_peak [K],f_wm50 [K],kin_pa [deg],rms [K],snr_int,w20 [channels],w50 [channels],wm50 [channels],ra [deg],dec [deg],vopt [m/s],y/n/m
1402635.145,228,251.656,36.432,1074.759,251.705,36.466,1074.765,244,258,34,41,1052,1096,1864,44,69,6.6247,3.3578,-89.9154,5.5595,2.8973,86.8287,441.4942,0.955,25.8395,92.9808,0.1674,61.0864,34.5453,15.4093,15.2702,140.06316,22.699484,37737.52,n
1402635.195,295,397.632,207.242,1051.552,397.802,207.099,1051.008,393,404,204,211,1036,1068,987,32,50,5.175,2.8208,78.4729,4.789,2.6074,75.7962,204.7669,0.7545,0,203.0839,0.1774,36.7491,25.6539,17.0355,0,137.62822,25.543375,20249.274,n
1402635.220,341,12.432,451.255,1094.251,12.536,451.209,1093.991,5,18,443,458,1077,1115,2925,38,130,7.5627,5.6157,24.9496,6.8124,4.9486,17.5698,628.6645,0.786,28.6837,190.985,0.1849,62.8722,27.7773,16.9164,21.9715,144.04934,29.611873,51890.125,n
1402635.230,358,7.195,279.089,1081.561,7.235,279.045,1081.918,3,12,275,284,1061,1102,1736,41,68,4.847,4.2304,35.844,4.4239,3.8226,14.6654,348.7155,0.7022,15.5481,108.8822,0.1508,55.5145,29.4608,24.732,25.6618,144.13768,26.742469,43002.54,n
1403435.014,21,65.873,372.533,919.161,65.83,372.439,918.921,61,71,369,378,905,937,942,32,53,5.1682,3.0893,-46.1108,4.8328,2.8626,-41.2377,180.815,0.6764,6.6244,0.7045,0.1988,29.6318,25.2645,15.5807,24.8711,143.16109,36.299052,-76983.235,n
1403435.025,33,230.181,201.346,933.786,230.318,201.333,934.094,223,238,196,208,914,955,3940,41,135,7.8251,5.3751,70.6388,7.4839,4.6523,73.1809,814.7436,0.7917,41.4673,65.4147,0.1711,75.876,32.4755,22.0364,21.8828,140.41963,33.447277,-65813.809,n
1403435.029,37,158.862,238.422,943.082,158.858,238.356,943.247,151,167,234,243,923,963,2109,40,102,7.2787,4.706,-86.3814,6.2317,4.2953,-82.3227,453.8303,1.0588,26.9296,82.2259,0.2076,47.6107,30.2266,18.0666,19.3636,141.61063,34.064337,-59075.966,n
1403435.128,199,175.176,233.167,1083.629,175.238,233.245,1083.811,171,180,230,238,1065,1103,1233,38,55,5.0032,3.3456,51.4338,4.706,2.9475,53.6589,280.8912,0.894,3.7316,241.2061,0.2026,39.478,23.4261,21.3146,34.1724,141.33762,33.979149,44395.967,n
1403435.149,237,126.058,268.243,1065.397,125.941,268.242,1064.732,120,133,263,274,1044,1091,3389,47,125,7.0813,5.3765,69.5832,6.4375,4.6234,68.7841,827.7933,1.2854,52.1605,243.5033,0.1889,75.2641,29.9219,20.3514,18.2887,142.15924,34.562438,30351.606,n
1403435.167,265,201.322,341.819,1150.98,201.238,341.867,1151.074,197,206,339,346,1137,1166,637,29,40,5.1695,2.2996,58.6441,5.0295,2.0888,58.2756,141.3993,0.8103,7.7652,55.5581,0.1917,29.2245,20.6897,15.8185,19.0769,140.90428,35.789523,93910.035,n
1403435.171,271,502.671,384.678,1125.984,502.577,384.698,1126.802,499,509,379,392,1105,1147,2020,42,82,5.9998,4.8678,-0.0392,5.4036,4.1967,5.7303,431.0576,0.9049,0,205.5441,0.2019,47.5098,33.6231,28.7144,0,135.88196,36.503381,76043.107,n
1403435.203,310,415.441,388.699,1126.365,415.347,388.608,1126.284,412,422,386,392,1110,1142,757,32,41,4.8299,2.3967,-73.9403,4.786,2.2201,-68.5966,164.2239,0.7175,0,299.3376,0.1987,30.0424,21.7238,16.0992,0,137.3358,36.568544,75661.791,n
1403435.206,313,271.611,235.368,1228.365,271.46,235.47,1228.456,265,277,232,241,1206,1253,1306,47,71,6.6877,3.398,68.0988,5.3826,3.0171,71.0894,330.6407,1.2059,26.1921,80.0065,0.2505,36.5175,33.3108,17.6703,17.271,139.73392,34.016232,150872.63,n
